hostname,sy_pnum,st_rad,st_mass
GJ 3473,2,0.364,0.36
GJ 3473,2,0.364,0.36
GJ 3512,2,0.139,0.123
GJ 3512,2,0.139,0.123
GJ 3512,2,0.139,0.123
GJ 3512,2,0.139,0.123
GJ 3512,2,0.139,0.123
GJ 357,3,0.337,0.342
GJ 357,3,0.337,0.342
GJ 357,3,0.36,NA
GJ 357,3,NA,NA
GJ 357,3,0.337,0.342
GJ 357,3,0.337,0.342
GJ 357,3,0.337,0.342
GJ 3634,1,0.43,0.45
GJ 367,3,0.457,0.454
GJ 367,3,0.46,NA
GJ 367,3,0.458,0.455
GJ 367,3,0.458,0.455
GJ 367,3,0.458,0.455
GJ 3779,1,0.281,0.27
GJ 3929,2,0.325635,NA
GJ 3929,2,0.32,0.313
GJ 3929,2,0.315,0.309
GJ 3929,2,0.32,0.313
GJ 393,1,0.426,0.426
GJ 3942,1,0.61,0.63
GJ 3988,1,0.19734,0.1842
GJ 3998,3,0.49,0.5
GJ 3998,3,0.5,0.52
GJ 3998,3,0.49,0.5
GJ 3998,3,0.5,0.52
GJ 3998,3,0.5,0.52
GJ 411,2,0.369083,0.391846
GJ 411,2,0.3685,0.3899
GJ 411,2,0.389,0.386
GJ 411,2,0.392,0.39
GJ 411,2,NA,NA
GJ 414 A,2,0.68,0.65
GJ 414 A,2,0.669922,0.694721
GJ 414 A,2,0.68,0.65
GJ 414 A,2,0.669922,0.694721
GJ 422,1,NA,0.35
GJ 422,1,NA,0.35
GJ 4274,2,0.19,0.18
GJ 4274,2,0.19,0.18
GJ 4276,1,0.407,0.406
GJ 433,3,NA,0.48
GJ 433,3,0.5,0.59
GJ 433,3,NA,0.48
GJ 433,3,NA,0.48
GJ 433,3,NA,0.48
GJ 433,3,NA,0.48
GJ 433,3,NA,0.48
GJ 436,1,NA,0.452
GJ 436,1,0.45,NA
GJ 436,1,NA,0.41
GJ 436,1,0.464,0.452
GJ 436,1,NA,0.44
GJ 436,1,0.454,0.459
GJ 436,1,0.425432,0.419868
GJ 436,1,0.416843,0.441167
GJ 436,1,NA,NA
GJ 436,1,0.464,0.452
GJ 436,1,0.425432,0.419868
GJ 436,1,0.425432,0.419868
GJ 436,1,NA,NA
GJ 436,1,0.425432,0.419868
GJ 436,1,NA,NA
GJ 436,1,0.455,0.47
GJ 436,1,0.464,0.452
GJ 436,1,0.422,0.445
GJ 436,1,NA,NA
GJ 436,1,0.455,0.556
GJ 436,1,0.449,0.445
GJ 436,1,0.446,0.452
GJ 436,1,0.425432,NA
GJ 436,1,0.437,0.452
GJ 463,1,0.483,0.486
GJ 463,1,0.49,0.49
GJ 463,1,0.49,0.49
GJ 463,1,0.49,0.49
GJ 480,1,NA,0.45
GJ 480,1,0.449,0.45
GJ 486,1,0.331472,NA
GJ 486,1,0.339,0.333
GJ 486,1,0.3243,0.312
